source,target,weight,source_name,target_name,edge_type
Cap.356,Cap.446,1,Development Planning ActAll subsidiary legislation,Probation Act,CROSS_REFERENCE
Cap.356,Cap.9,1,Development Planning ActAll subsidiary legislation,Criminal Code,CROSS_REFERENCE
Cap.356,L.N.512of2010,60,Development Planning ActAll subsidiary legislation,L.N.512of2010,CROSS_REFERENCE
Cap.363,Cap.258,2,Local Government Act,Identity Card and other Identity Documents Act,CROSS_REFERENCE
Cap.363,Cap.281,3,Local Government Act,Accountancy Profession Act,CROSS_REFERENCE
Cap.363,Cap.291,4,Local Government Act,Commissioners for Justice Act,CROSS_REFERENCE
Cap.363,Cap.318,2,Local Government Act,Social Security Act,CROSS_REFERENCE
Cap.363,Cap.350,1,Local Government Act,Broadcasting Act,CROSS_REFERENCE
Cap.363,Cap.354,4,Local Government Act,General Elections Act,CROSS_REFERENCE
Cap.363,Cap.446,2,Local Government Act,Probation Act,CROSS_REFERENCE
Cap.363,Cap.490,1,Local Government Act,Administrative Justice Act,CROSS_REFERENCE
Cap.363,Cap.496,5,Local Government Act,Freedom of Information Act,CROSS_REFERENCE
Cap.363,Cap.552,2,Local Government Act,Development Planning Act,CROSS_REFERENCE
Cap.363,Cap.58,1,Local Government Act,Widows' and Orphans' Pensions Act,CROSS_REFERENCE
Cap.363,Cap.586,2,Local Government Act,Data Protection Act,CROSS_REFERENCE
Cap.363,Cap.595,1,Local Government Act,Public Administration Act,CROSS_REFERENCE
Cap.363,Cap.9,2,Local Government Act,Criminal Code,CROSS_REFERENCE
Cap.363,Cap.93,1,Local Government Act,Pensions Ordinance,CROSS_REFERENCE
Cap.364,Cap.12,2,Duty on Documents and Transfers Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.364,Cap.123,14,Duty on Documents and Transfers Act,Income Tax Act,CROSS_REFERENCE
Cap.364,Cap.16,2,Duty on Documents and Transfers Act,Civil Code,CROSS_REFERENCE
Cap.364,Cap.331,1,Duty on Documents and Transfers Act,Trusts and Trustees Act,CROSS_REFERENCE
Cap.364,Cap.370,2,Duty on Documents and Transfers Act,Investment Services Act,CROSS_REFERENCE
Cap.364,Cap.386,1,Duty on Documents and Transfers Act,Companies Act,CROSS_REFERENCE
Cap.364,Cap.403,2,Duty on Documents and Transfers Act,Insurance Business Act,CROSS_REFERENCE
Cap.364,Cap.413,1,Duty on Documents and Transfers Act,Equal Opportunities (Persons with Disability) Act,CROSS_REFERENCE
Cap.364,Cap.490,2,Duty on Documents and Transfers Act,Administrative Justice Act,CROSS_REFERENCE
Cap.364,Cap.55,4,Duty on Documents and Transfers Act,Notarial Profession and Notarial Archives Act,CROSS_REFERENCE
Cap.364,Cap.625,1,Duty on Documents and Transfers Act,Exclusive Economic Zone Act,CROSS_REFERENCE
Cap.364,Cap.9,5,Duty on Documents and Transfers Act,Criminal Code,CROSS_REFERENCE
Cap.37,Cap.12,1,Customs Ordinance,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.37,Cap.406,2,Customs Ordinance,Value Added Tax Act,CROSS_REFERENCE
Cap.37,Cap.446,1,Customs Ordinance,Probation Act,CROSS_REFERENCE
Cap.37,Cap.625,1,Customs Ordinance,Exclusive Economic Zone Act,CROSS_REFERENCE
Cap.37,Cap.9,9,Customs Ordinance,Criminal Code,CROSS_REFERENCE
Cap.370,Cap.16,1,Investment Services Act,Civil Code,CROSS_REFERENCE
Cap.370,Cap.204,1,Investment Services Act,Central Bank of Malta Act,CROSS_REFERENCE
Cap.370,Cap.281,1,Investment Services Act,Accountancy Profession Act,CROSS_REFERENCE
Cap.370,Cap.318,1,Investment Services Act,Social Security Act,CROSS_REFERENCE
Cap.370,Cap.330,5,Investment Services Act,Malta Financial Services Authority Act,CROSS_REFERENCE
Cap.370,Cap.345,2,Investment Services Act,Financial Markets Act,CROSS_REFERENCE
Cap.370,Cap.371,1,Investment Services Act,Banking Act,CROSS_REFERENCE
Cap.370,Cap.386,5,Investment Services Act,Companies Act,CROSS_REFERENCE
Cap.370,Cap.9,1,Investment Services Act,Criminal Code,CROSS_REFERENCE
Cap.371,Cap.12,1,Banking Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.371,Cap.13,1,Banking Act,Commercial Code,CROSS_REFERENCE
Cap.371,Cap.204,1,Banking Act,Central Bank of Malta Act,CROSS_REFERENCE
Cap.371,Cap.330,7,Banking Act,Malta Financial Services Authority Act,CROSS_REFERENCE
Cap.371,Cap.345,1,Banking Act,Financial Markets Act,CROSS_REFERENCE
Cap.371,Cap.373,1,Banking Act,Prevention of Money Laundering Act,CROSS_REFERENCE
Cap.371,Cap.376,1,Banking Act,Financial Institutions Act,CROSS_REFERENCE
Cap.371,Cap.378,1,Banking Act,Consumer Affairs Act,CROSS_REFERENCE
Cap.371,Cap.386,4,Banking Act,Companies Act,CROSS_REFERENCE
